                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4212,                 3.7766,                 4.2092,                0.00272,                0.38583,                0.00476,                0.00128,                 3.5318,                 3.9017,                 4.1535,             0.00064957,             0.00064957,             0.00064957
                      2,                  3.236,                 3.5593,                 3.8699,                0.00562,                0.29921,                0.00787,                0.00238,                 3.6771,                 3.8722,                 4.3464,              0.0013032,              0.0013032,              0.0013032
                      3,                 3.0168,                 3.4244,                 3.5446,                0.00622,                0.51969,                0.00951,                0.00264,                 3.2989,                 3.6827,                 4.0629,              0.0019436,              0.0019436,              0.0019436
                      4,                 2.8895,                 3.2777,                 3.3309,                0.04603,                0.08661,                0.02048,                0.00388,                 2.9833,                 4.5559,                 3.4576,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.8449,                 3.1929,                 3.2063,                0.00207,                0.12598,                0.00133,                0.00047,                 3.2672,                 28.717,                 3.6214,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.7837,                 3.1066,                   3.15,                0.03257,                0.12598,                0.02183,                0.00523,                 2.8038,                 3.8023,                  3.245,               0.001901,               0.001901,               0.001901
                      7,                  2.766,                 3.1695,                 3.1353,                0.09836,                0.19685,                0.06261,                0.01642,                 2.7935,                 3.8188,                 3.1893,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6668,                 3.0895,                 3.0815,                0.18575,                0.18898,                0.08125,                0.02208,                 2.7263,                 3.2214,                 3.1747,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6334,                 2.9983,                 3.0274,                0.05664,                0.12598,                0.03025,                0.01014,                 2.7743,                 3.8667,                 3.2976,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.6025,                 2.9573,                 3.0053,                0.08066,                0.14173,                0.04082,                0.01333,                  2.614,                 3.0998,                 3.0825,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.5097,                  2.871,                 2.9707,                0.10899,                0.18898,                0.07749,                0.02701,                  2.617,                 3.2217,                  3.079,               0.001802,               0.001802,               0.001802
                     12,                 2.4878,                 2.8821,                 2.9505,                0.21911,                0.08661,                0.04978,                0.01783,                 2.4752,                 3.9864,                 2.9983,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.4028,                 2.8727,                 2.8881,                0.13682,                0.21843,                0.09038,                0.02938,                  2.448,                 3.0592,                 2.9497,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.3645,                 2.7957,                 2.8628,                0.27104,                0.14173,                 0.1462,                0.04806,                  2.621,                 3.4053,                 3.1184,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.3514,                 2.7689,                 2.8297,                0.20317,                0.16535,                0.11501,                0.04277,                 2.3584,                 2.8441,                  2.843,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.3132,                 2.6973,                 2.7628,                0.14848,                0.14961,                0.08953,                0.03276,                  2.398,                  3.179,                 2.8697,               0.001703,               0.001703,               0.001703
                     17,                 2.2828,                 2.6641,                 2.7178,                0.29543,                0.22047,                0.18931,                0.07618,                  2.343,                 2.8064,                 2.8188,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.2595,                 2.6653,                 2.7414,                0.28671,                0.19685,                0.17572,                0.07005,                 2.4224,                 2.7647,                 2.8708,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.2027,                 2.5823,                 2.6753,                0.18549,                0.15748,                0.10493,                0.03073,                 2.4054,                 4.0252,                 2.9251,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1727,                 2.6011,                 2.6596,                0.22913,                0.25984,                0.17896,                0.06207,                 2.2257,                 2.9024,                 2.7023,              0.0016238,              0.0016238,              0.0016238
                     21,                  2.144,                 2.5402,                 2.5798,                0.20644,                0.20484,                0.10821,                0.04089,                  2.289,                 2.7775,                 2.7502,               0.001604,               0.001604,               0.001604
                     22,                 2.0627,                 2.4231,                 2.5259,                0.23217,                0.19685,                0.16164,                 0.0587,                 2.2501,                 2.7545,                 2.7108,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0777,                 2.4401,                 2.5338,                0.24557,                0.24409,                0.18193,                 0.0742,                 2.1817,                 2.6742,                 2.6732,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.0318,                 2.4441,                  2.533,                0.39672,                 0.1811,                0.22696,                0.08631,                 2.1611,                 2.6736,                 2.7012,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.0295,                 2.4572,                 2.4897,                0.32176,                0.25029,                0.21779,                 0.0942,                 2.1781,                  2.587,                 2.6408,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.9887,                 2.3779,                 2.4156,                0.30199,                 0.1811,                0.16268,                0.05971,                  2.208,                 2.8525,                 2.6805,               0.001505,               0.001505,               0.001505
                     27,                 1.9231,                 2.2588,                 2.3699,                0.34241,                0.27559,                 0.2467,                0.10411,                 2.0674,                 2.6151,                 2.5656,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.9496,                 2.2371,                 2.3632,                0.41956,                0.33858,                0.31407,                0.13869,                 2.0731,                 2.3248,                 2.5478,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.9566,                 2.2854,                 2.3644,                0.31318,                0.24058,                0.20647,                0.08203,                 2.2265,                 2.6477,                 2.7003,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8922,                 2.2384,                 2.3555,                0.30567,                0.25197,                0.25305,                0.12599,                 2.0838,                 2.6927,                 2.5249,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8848,                  2.269,                 2.3415,                0.37793,                0.30709,                0.27772,                0.13288,                 2.0509,                 2.4596,                 2.5312,               0.001406,               0.001406,               0.001406
                     32,                 1.8268,                 2.1625,                 2.2466,                0.16948,                0.20087,                0.12983,                0.05255,                  2.188,                 2.8357,                 2.5883,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8357,                 2.1603,                 2.2652,                  0.329,                 0.3622,                 0.3111,                0.14805,                 2.0257,                 2.2994,                 2.5158,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7936,                 2.1051,                 2.2459,                0.37384,                0.30089,                0.31166,                 0.1403,                 2.0929,                  2.443,                 2.5682,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7623,                 2.0487,                 2.2043,                0.40798,                 0.3622,                0.35281,                0.14301,                 2.0685,                 2.3223,                 2.5643,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8216,                 2.0843,                 2.2695,                 0.4014,                0.25197,                0.27613,                0.10608,                 2.0932,                  2.502,                 2.5545,               0.001307,               0.001307,               0.001307
                     37,                  1.783,                 2.0511,                 2.2352,                0.32641,                 0.3937,                0.30991,                0.14123,                 2.1121,                 2.5884,                 2.5979,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7148,                 1.9861,                 2.1723,                0.31646,                0.33903,                0.28156,                  0.136,                 2.0372,                 2.4111,                 2.4796,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7575,                 1.9681,                 2.1315,                0.41053,                0.33071,                 0.3151,                 0.1392,                 2.0321,                 2.3978,                 2.5438,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6655,                 1.9806,                 2.0945,                0.51212,                0.35433,                0.38357,                0.16361,                 2.0248,                 2.2894,                 2.5272,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6774,                 1.9421,                 2.1071,                0.34173,                0.28346,                0.28034,                0.14326,                 1.9922,                  2.388,                 2.4866,               0.001208,               0.001208,               0.001208
                     42,                 1.6529,                 1.8415,                 2.0914,                0.40695,                 0.4252,                0.41281,                0.18958,                 1.9507,                 2.2543,                 2.4376,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6394,                 1.8423,                 2.0811,                0.43577,                0.38314,                 0.3796,                0.17499,                 1.9666,                 2.2144,                 2.4618,              0.0011684,              0.0011684,              0.0011684
